prompt,completion
select avg(total_price) from pizza where pizza_name_id in ( 'pepperoni_l' ) and pizza_category in ( 'Classic' ) and    unit_price between 15 and 27  ,15.0
select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_l' ) and pizza_category in ( 'Classic' ) and    unit_price between 17 and 28  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_s' ) and pizza_size in ( 'S' ) and    unit_price between 11 and 27  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'green_garden_s' ) and pizza_size in ( 'S' ) and    unit_price between 11 and 27  ,12.0
select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'bbq_ckn_s' ) and    unit_price between 10 and 21  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'pepperoni_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 18  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'ckn_alfredo_m' ) and pizza_category in ( 'Chicken' ) and    unit_price between 14 and 20  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'sicilian_s' ) and pizza_size in ( 'S' ) and    unit_price between 12 and 32  ,12.0
select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_size in ( 'M' ) and    unit_price between 15 and 33  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'spin_pesto_l' ) and pizza_size in ( 'L' ) and    unit_price between 12 and 32  ,21.0
select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'calabrese_s' ) and    unit_price between 11 and 16  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_supr_l' ) and pizza_size in ( 'L' ) and    unit_price between 10 and 26  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'calabrese_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 20 and 28  ,20.0
select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_size in ( 'M' ) and    unit_price between 16 and 31  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_supr_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 20 and 27  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'napolitana_l' ) and pizza_size in ( 'L' ) and    unit_price between 18 and 23  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'veggie_veg_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'cali_ckn_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,12.0
select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'spinach_fet_s' ) and    unit_price between 11 and 12  ,12.0
